gene_symbol,ukb_code,uniprot_id,protein_name,chr_hg19,start_bp_hg19,end_bp_hg19,olink_panel
PLG,2073,P00747,Plasminogen,6,161123270,161174347,Inflammation II
PLTP,2078,P55058,Phospholipid transfer protein,20,44527399,44540794,Cardiometabolic
PLXDC1,2079,Q8IUK5,Plexin domain-containing protein 1,17,37219556,37310647,Oncology
PLXNB2,2082,O15031,Plexin-B2,22,50713408,50746056,Cardiometabolic
PM20D1,2084,Q6GTS8,N-fatty-acyl-amino acid synthase/hydrolase PM20D1,1,205797150,205819260,Cardiometabolic
PMM2,2086,O15305,Phosphomannomutase 2,16,8882680,8943188,Cardiometabolic II
PNLIPRP1,2090,P54315,Inactive pancreatic lipase-related protein 1,10,118349897,118368687,Neurology II
PNLIPRP2,2091,P54317,Pancreatic lipase-related protein 2,10,118380465,118404654,Inflammation
PODXL,2095,O00592,Podocalyxin,7,131185021,131242976,Oncology
PODXL2,2096,Q9NZ53,Podocalyxin-like protein 2,3,127348024,127391652,Oncology
PON1,2101,P27169,Serum paraoxonase/arylesterase 1,7,94926988,95025673,Inflammation II
PON2,2102,Q15165,Serum paraoxonase/arylesterase 2,7,95034175,95064510,Cardiometabolic
PON3,2103,Q15166,Serum paraoxonase/lactonase 3,7,94989256,95025680,Inflammation
POSTN,2104,Q15063,Periostin,13,38136720,38172981,Cardiometabolic II
PPCDC,2106,Q96CD2,Phosphopantothenoylcysteine decarboxylase,15,75315896,75409803,Neurology
PPP1R14A,2118,Q96A00,Protein phosphatase 1 regulatory subunit 14A,19,38741877,38747231,Neurology II
PRAP1,2128,Q96NZ9,Proline-rich acidic protein 1,10,135160650,135166187,Cardiometabolic II
PRELP,2137,P51888,Prolargin,1,203444956,203460480,Inflammation
PRG3,2139,Q9Y2Y8,Proteoglycan 3,11,57144242,57148623,Cardiometabolic II
PRKAB1,2140,Q9Y478,5'-AMP-activated protein kinase subunit beta-1,12,120105558,120119435,Inflammation
PRKG1,2146,Q13976,cGMP-dependent protein kinase 1,10,52750945,54058110,Inflammation II
PRND,2149,Q9UKY0,Prion-like protein doppel,20,4702556,4709106,Neurology II
PROC,2150,P04070,Vitamin K-dependent protein C,2,128176003,128186822,Cardiometabolic
PROCR,2151,Q9UNN8,Endothelial protein C receptor,20,33759876,33765165,Cardiometabolic II
PROK1,2152,P58294,Prokineticin-1,1,110993822,110999976,Inflammation
PRR4,2154,Q16378,Proline-rich protein 4,12,10977559,11324212,Inflammation II
PRRT3,2156,Q5FWE3,Proline-rich transmembrane protein 3,3,9987226,9994078,Cardiometabolic II
PRSS22,2158,Q9GZN4,Brain-specific serine protease 4,16,2902728,2908171,Inflammation II
PRSS27,2159,Q9BQR3,Serine protease 27,16,2762419,2770552,Cardiometabolic
PRSS53,2160,Q2L4Q9,Serine protease 53,16,31094746,31100949,Neurology II
PRSS8,2161,Q16651,Prostasin,16,31142756,31147083,Inflammation
PRTFDC1,2162,Q9NRG1,Phosphoribosyltransferase domain-containing protein 1,10,25137536,25241533,Neurology
PRTG,2163,Q2VWP7,Protogenin,15,55903744,56035288,Oncology
PRTN3,2164,P24158,Myeloblastin,19,840963,848175,Cardiometabolic
PSAP,2166,P07602,Prosaposin,10,73576055,73611126,Cardiometabolic II
PSAPL1,2167,Q6NUJ1,Proactivator polypeptide-like 1,4,7432022,7436700,Oncology II
PSCA,2168,O43653,Prostate stem cell antigen,8,143751726,143764142,Oncology II
PSG1,2169,P11464,Pregnancy-specific beta-1-glycoprotein 1,19,43370616,43383974,Neurology
PSMD9,2175,O00233,26S proteasome non-ATPase regulatory subunit 9,12,122326637,122356203,Oncology
PSMG4,2179,Q5JS54,Proteasome assembly chaperone 4,6,3231637,3303607,Inflammation II
PSRC1,2181,Q6PGN9,Proline/serine-rich coiled-coil protein 1,1,109822178,109825808,Oncology
PSTPIP2,2182,Q9H939,Proline-serine-threonine phosphatase-interacting protein 2,18,43563502,43652238,Inflammation II
PTGR1,2186,Q14914,Prostaglandin reductase 1,9,114312002,114362135,Cardiometabolic II
PTH1R,2188,Q03431,Parathyroid hormone/parathyroid hormone-related peptide receptor,3,46919236,46945287,Inflammation
PTK7,2189,Q13308,Inactive tyrosine-protein kinase 7,6,43044006,43129457,Neurology
PTN,2190,P21246,Pleiotrophin,7,136912088,137028611,Cardiometabolic
PTPRB,2195,P23467,Receptor-type tyrosine-protein phosphatase beta,12,70910630,71031220,Cardiometabolic II
PTPRC,2196,P08575,Receptor-type tyrosine-protein phosphatase C,1,198607801,198726545,Cardiometabolic II
PTPRH,2198,Q9HD43,Receptor-type tyrosine-protein phosphatase H,19,55692616,55720874,Oncology II
PTPRN2,2201,Q92932,Receptor-type tyrosine-protein phosphatase N2,7,157331750,158380480,Neurology
PTPRS,2203,Q13332,Receptor-type tyrosine-protein phosphatase S,19,5158506,5340814,Cardiometabolic
PTPRZ1,2204,P23471,Receptor-type tyrosine-protein phosphatase zeta,7,121513143,121702090,Cardiometabolic II
PTS,2206,Q03393,6-pyruvoyl tetrahydrobiopterin synthase,11,112097088,112140678,Neurology
PVALB,2209,P20472,Parvalbumin alpha,22,37196728,37215523,Oncology
PVR,2210,P15151,Poliovirus receptor,19,45147098,45166850,Neurology
PXDNL,2211,A1KZ92,Peroxidasin-like protein,8,52232138,52722005,Oncology II
PXN,2212,P49023,Paxillin,12,120648250,120703574,Neurology
PYDC1,2213,Q8WXC3,Pyrin domain-containing protein 1,16,31227283,31228680,Cardiometabolic II
PYY,2214,P10082,Peptide YY,17,42030106,42081837,Cardiometabolic II
PZP,2215,P20742,Pregnancy zone protein,12,9301436,9360966,Inflammation II
QDPR,2216,P09417,Dihydropteridine reductase,4,17461884,17513857,Cardiometabolic
QPCT,2217,Q16769,Glutaminyl-peptide cyclotransferase,2,37571717,37600465,Cardiometabolic
QSOX1,2218,O00391,Sulfhydryl oxidase 1,1,180123969,180173165,Inflammation II
RAB2B,2222,Q8WUD1,Ras-related protein Rab-2B,14,21927179,21945132,Oncology II
RARRES1,2243,P49788,Retinoic acid receptor responder protein 1,3,158414681,158450485,Oncology
RARRES2,2244,Q99969,Retinoic acid receptor responder protein 2,7,150035408,150038763,Cardiometabolic
RBKS,2249,Q9H477,Ribokinase,2,28004231,28113965,Neurology
RBP5,2255,P82980,Retinol-binding protein 5,12,7276280,7281538,Oncology
RBP7,2256,Q96R05,Retinoid-binding protein 7,1,10057264,10076078,Oncology II
RECK,2261,O95980,Reversion-inducing cysteine-rich protein with Kazal motifs,9,36036430,36124448,Cardiometabolic II
REG1A,2263,P05451,Lithostathine-1-alpha,2,79347488,79350545,Cardiometabolic
REG1B,2264,P48304,Lithostathine-1-beta,2,79312156,79315145,Cardiometabolic
REG3A,2265,Q06141,Regenerating islet-derived protein 3-alpha,2,79384132,79386879,Cardiometabolic
REG3G,2266,Q6UW15,Regenerating islet-derived protein 3-gamma,2,79252812,79255631,Oncology II
REG4,2267,Q9BYZ8,Regenerating islet-derived protein 4,1,120336641,120354283,Inflammation
RELT,2269,Q969Z4,Tumor necrosis factor receptor superfamily member 19L,11,73087309,73108519,Neurology
RET,2273,P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,10,43572475,43625799,Oncology
RETN,2274,Q9HD89,Resistin,19,7733930,7735334,Cardiometabolic
RGMA,2279,Q96B86,Repulsive guidance molecule A,15,93586636,93632433,Neurology
RGMB,2280,Q6NW40,RGM domain family member B,5,98104354,98134347,Neurology
RIDA,2285,P52758,2-iminobutanoate/2-iminopropanoate deaminase,8,99114572,99129469,Inflammation II
RNASE1,2291,P07998,Ribonuclease pancreatic,14,21269387,21271437,Inflammation II
RNASE10,2292,Q5GAN6,Inactive ribonuclease-like protein 10,14,20973696,20979328,Cardiometabolic II
RNASE3,2293,P12724,Eosinophil cationic protein,14,21359558,21360507,Cardiometabolic
RNASE4,2294,P34096,Ribonuclease 4,14,21152259,21168761,Inflammation II
RNASE6,2295,Q93091,Ribonuclease K6,14,21249210,21250626,Inflammation II
RNASET2,2297,O00584,Ribonuclease T2,6,167342992,167370679,Cardiometabolic
RNF149,2298,Q8NC42,E3 ubiquitin-protein ligase RNF149,2,101887681,101925163,Cardiometabolic II
ROBO1,2305,Q9Y6N7,Roundabout homolog 1,3,78646390,79816965,Inflammation
ROBO2,2306,Q9HCK4,Roundabout homolog 2,3,75955846,77699115,Neurology
ROR1,2308,Q01973,Inactive tyrosine-protein kinase transmembrane receptor ROR1,1,64239693,64647181,Cardiometabolic
RSPO1,2319,Q2MKA7,R-spondin-1,1,38076951,38100595,Neurology
RSPO3,2320,Q9BXY4,R-spondin-3,6,127439749,127518910,Oncology
RTBDN,2321,Q9BSG5,Retbindin,19,12936292,12946242,Oncology
RTN4R,2324,Q9BZR6,Reticulon-4 receptor,22,20228938,20270769,Oncology
S100A12,2329,P80511,Protein S100-A12,1,153346184,153348125,Oncology
S100A13,2330,Q99584,Protein S100-A13,1,153591263,153606568,Inflammation II
S100A14,2331,Q9HCY8,Protein S100-A14,1,153586731,153589462,Neurology II
S100A4,2334,P26447,Protein S100-A4,1,153516089,153522612,Oncology
S100P,2336,P25815,Protein S100-P,4,6694796,6698897,Cardiometabolic
SAA4,2337,P35542,Serum amyloid A-4 protein,11,18252896,18258440,Inflammation II
SAMD9L,2340,Q8IVG5,Sterile alpha motif domain-containing protein 9-like,7,92759368,92777682,Inflammation
SAT2,2345,Q96F10,Thialysine N-epsilon-acetyltransferase,17,7529552,7531194,Oncology II
SBSN,2347,Q6UWP8,Suprabasin,19,36014269,36019253,Cardiometabolic II
SCARA5,2349,Q6ZMJ2,Scavenger receptor class A member 5,8,27727399,27850244,Neurology
SCARB2,2351,Q14108,Lysosome membrane protein 2,4,77079890,77135046,Neurology
SCARF1,2352,Q14162,Scavenger receptor class F member 1,17,1537152,1549041,Cardiometabolic
SCARF2,2353,Q96GP6,Scavenger receptor class F member 2,22,20778874,20792146,Neurology
SCG3,2355,Q8WXD2,Secretogranin-3,15,51973550,52013223,Inflammation
SCGB1A1,2356,P11684,Uteroglobin,11,62172575,62190667,Inflammation
SCGB3A1,2358,Q96QR1,Secretoglobin family 3A member 1,5,180017103,180018540,Inflammation II
SCGB3A2,2359,Q96PL1,Secretoglobin family 3A member 2,5,147250245,147261754,Inflammation
SCLY,2362,Q96I15,Selenocysteine lyase,2,238969530,239008054,Oncology
SCN4B,2367,Q8IWT1,Sodium channel subunit beta-4,11,118004092,118023603,Cardiometabolic II
SCPEP1,2369,Q9HB40,Retinoid-inducible serine carboxypeptidase,17,55055466,55084129,Cardiometabolic II
SDC1,2374,P18827,Syndecan-1,2,20400558,20425194,Cardiometabolic
SDC4,2375,P31431,Syndecan-4,20,43953928,43977064,Cardiometabolic
SDCCAG8,2376,Q86SQ7,Serologically defined colon cancer antigen 8,1,243419320,243663394,Oncology II
SDK2,2378,Q58EX2,Protein sidekick-2,17,71330523,71640228,Inflammation II
SELL,2383,P14151,L-selectin,1,169659808,169680839,Inflammation II
SELP,2384,P16109,P-selectin,1,169558087,169599431,Cardiometabolic
SELPLG,2385,Q14242,P-selectin glycoprotein ligand 1,12,109015686,109027735,Inflammation
SEMA3F,2386,Q13275,Semaphorin-3F,3,50192478,50226508,Cardiometabolic
SERPINA1,2396,P01009,Alpha-1-antitrypsin,14,94843084,94857030,Inflammation II
SERPINA11,2397,Q86U17,Serpin A11,14,94908801,94919127,Cardiometabolic
SERPINA12,2398,Q8IW75,Serpin A12,14,94953611,94984181,Cardiometabolic
SERPINA3,2399,P01011,Alpha-1-antichymotrypsin,14,95078714,95090392,Inflammation II
SERPINA4,2400,P29622,Kallistatin,14,95027428,95036250,Inflammation II
SERPINA5,2401,P05154,Plasma serine protease inhibitor,14,95027779,95059457,Inflammation II
SERPINA6,2402,P08185,Corticosteroid-binding globulin,14,94770585,94789731,Inflammation II
SERPINA9,2404,Q86WD7,Serpin A9,14,94929054,94946026,Oncology
SERPINB6,2407,P35237,Serpin B6,6,2948393,2972090,Neurology
SERPINB8,2408,P50452,Serpin B8,18,61637159,61672278,Inflammation
SERPINB9,2409,P50453,Serpin B9,6,2887500,2903514,Neurology
SERPINE2,2413,P07093,Glia-derived nexin,2,224839829,224904036,Cardiometabolic II
SERPINF1,2414,P36955,Pigment epithelium-derived factor,17,1665253,1680868,Inflammation II
SERPINF2,2415,P08697,Alpha-2-antiplasmin,17,1646130,1658562,Inflammation II
SERPING1,2416,P05155,Plasma protease C1 inhibitor,11,57364860,57382326,Inflammation II
SERPINH1,2417,P50454,Serpin H1,11,75273101,75283828,Oncology II
SERPINI1,2418,Q99574,Neuroserpin,3,167453031,167543356,Inflammation II
SERPINI2,2419,O75830,Serpin I2,3,167159577,167196792,Oncology II
SETMAR,2421,Q53H47,Histone-lysine N-methyltransferase SETMAR,3,4344988,4359251,Neurology
SEZ6L,2423,Q9BYH1,Seizure 6-like protein,22,26565440,26779562,Oncology
SEZ6L2,2424,Q6UXD5,Seizure 6-like protein 2,16,29882480,29910868,Oncology
SFRP1,2426,Q8N474,Secreted frizzled-related protein 1,8,41119481,41167016,Neurology
SFRP4,2427,Q6FHJ7,Secreted frizzled-related protein 4,7,37945543,38065297,Inflammation II
SFTPA1,2428,Q8IWL2,Pulmonary surfactant-associated protein A1,10,81370695,81375196,Oncology
SFTPA2,2429,Q8IWL1,Pulmonary surfactant-associated protein A2,10,81315608,81320153,Oncology
SFTPD,2430,P35247,Pulmonary surfactant-associated protein D,10,81697496,81742370,Cardiometabolic
SGSH,2431,P51688,N-sulphoglucosamine sulphohydrolase,17,78180515,78194722,Cardiometabolic II
SH3BP1,2435,Q9Y3L3,SH3 domain-binding protein 1,22,38030661,38062939,Oncology II
SH3GLB2,2437,Q9NR46,Endophilin-B2,9,131769315,131790582,Neurology II
SHBG,2438,P04278,Sex hormone-binding globulin,17,7517382,7536700,Inflammation II
SHMT1,2443,P34896,"Serine hydroxymethyltransferase, cytosolic",17,18231187,18266856,Inflammation
SIAE,2445,Q9HAT2,Sialate O-acetylesterase,11,124503009,124565603,Oncology
SIGLEC1,2446,Q9BZZ2,Sialoadhesin,20,3667617,3687775,Inflammation
SIGLEC10,2447,Q96LC7,Sialic acid-binding Ig-like lectin 10,19,51913275,51921057,Inflammation
SIGLEC5,2449,O15389,Sialic acid-binding Ig-like lectin 5,19,52114781,52150151,Neurology
SIGLEC6,2450,O43699,Sialic acid-binding Ig-like lectin 6,19,52022779,52035110,Oncology
SIGLEC7,2451,Q9Y286,Sialic acid-binding Ig-like lectin 7,19,51645556,51656783,Cardiometabolic
SIGLEC8,2452,Q9NYZ4,Sialic acid-binding Ig-like lectin 8,19,51954101,51961710,Cardiometabolic II
SIGLEC9,2453,Q9Y336,Sialic acid-binding Ig-like lectin 9,19,51628165,51639908,Oncology
SIRPA,2455,P78324,Tyrosine-protein phosphatase non-receptor type substrate 1,20,1875154,1920543,Cardiometabolic
SIRPB1,2456,O00241,Signal-regulatory protein beta-1,20,1544167,1600707,Inflammation
SLAMF6,2466,Q96DU3,SLAM family member 6,1,160454820,160493052,Oncology
SLAMF7,2467,Q9NQ25,SLAM family member 7,1,160709037,160724611,Inflammation
SLAMF8,2468,Q9P0V8,SLAM family member 8,1,159796540,159807039,Oncology
SLITRK6,2487,Q9H5Y7,SLIT and NTRK-like protein 6,13,86366925,86373623,Cardiometabolic
SLURP1,2490,P55000,Secreted Ly-6/uPAR-related protein 1,8,143822362,143823829,Cardiometabolic II
SMAD3,2493,P84022,Mothers against decapentaplegic homolog 3,15,67356101,67487533,Oncology II
SMOC1,2498,Q9H4F8,SPARC-related modular calcium-binding protein 1,14,70320848,70499083,Oncology
SMOC2,2499,Q9H3U7,SPARC-related modular calcium-binding protein 2,6,168841831,169073984,Inflammation
SMPD1,2500,P17405,Sphingomyelin phosphodiesterase,11,6411655,6416228,Neurology
SMPDL3A,2502,Q92484,Acid sphingomyelinase-like phosphodiesterase 3a,6,123110315,123130865,Inflammation
SNAP25,2507,P60880,Synaptosomal-associated protein 25,20,10199478,10288066,Neurology II
SNCG,2511,O76070,Gamma-synuclein,10,88718375,88723017,Neurology
SNED1,2512,Q8TER0,"Sushi, nidogen and EGF-like domain-containing protein 1",2,241938255,242034983,Cardiometabolic II
SNX15,2515,Q9NRS6,Sorting nexin-15,11,64794880,64808044,Inflammation II
SOD2,2521,P04179,"Superoxide dismutase [Mn], mitochondrial",6,160090089,160183561,Neurology
SOD3,2522,P08294,Extracellular superoxide dismutase,4,24791534,24802464,Inflammation II
SORCS2,2524,Q96PQ0,VPS10 domain-containing receptor SorCS2,4,7194265,7744554,Oncology
SORD,2525,Q00796,Sorbitol dehydrogenase,15,45315302,45369383,Oncology
SORT1,2526,Q99523,Sortilin,1,109852192,109940573,Cardiometabolic
SPAG1,2532,Q07617,Sperm-associated antigen 1,8,101170134,101271506,Neurology II
SPARCL1,2534,Q14515,SPARC-like protein 1,4,88394487,88452213,Cardiometabolic
SPINK1,2537,P00995,Serine protease inhibitor Kazal-type 1,5,147204131,147211349,Neurology
SPINK2,2538,P20155,Serine protease inhibitor Kazal-type 2,4,57676026,57687908,Inflammation II
SPINK4,2539,O60575,Serine protease inhibitor Kazal-type 4,9,33218363,33248565,Inflammation
SPINK5,2540,Q9NQ38,Serine protease inhibitor Kazal-type 5,5,147405246,147516852,Neurology
SPINK6,2541,Q6UWN8,Serine protease inhibitor Kazal-type 6,5,147582357,147594700,Oncology
SPINK8,2542,P0C7L1,Serine protease inhibitor Kazal-type 8,3,48348336,48369831,Cardiometabolic II
SPINT1,2543,O43278,Kunitz-type protease inhibitor 1,15,41136216,41150405,Neurology
SPINT2,2544,O43291,Kunitz-type protease inhibitor 2,19,38734675,38783254,Inflammation
SPOCK1,2546,Q08629,Testican-1,5,136310987,136934068,Neurology
SPON1,2547,Q9HCB6,Spondin-1,11,13984270,14289679,Inflammation
SPON2,2548,Q9BUD6,Spondin-2,4,1160720,1202750,Cardiometabolic
SPP1,2549,P10451,Osteopontin,4,88896819,88904562,Cardiometabolic
SPRR3,2553,Q9UBC9,Small proline-rich protein 3,1,152974223,152976332,Neurology II
SSC4D,2563,Q8WTU2,Scavenger receptor cysteine-rich domain-containing group B protein,7,76018651,76039012,Cardiometabolic
SSC5D,2564,A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,19,55999771,56030465,Cardiometabolic
ST3GAL1,2568,Q11201,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",8,134467091,134584183,Oncology
ST6GAL1,2569,P15907,"Beta-galactoside alpha-2,6-sialyltransferase 1",3,186648274,186796341,Cardiometabolic
STAB2,2571,Q8WWQ8,Stabilin-2,12,103981051,104160505,Cardiometabolic II
STX7,2591,O15400,Syntaxin-7,6,132767006,132834337,Inflammation II
SUGP1,2595,Q8IWZ8,SURP and G-patch domain-containing protein 1,19,19386827,19431653,Oncology II
SULT1A1,2597,P50225,Sulfotransferase 1A1,16,28616903,28634946,Neurology
SULT2A1,2598,Q06520,Bile salt sulfotransferase,19,48373723,48389654,Inflammation
SUMF2,2600,Q8NBJ7,Inactive C-alpha-formylglycine-generating enzyme 2,7,56131695,56148363,Neurology
SUSD1,2602,Q6UWL2,Sushi domain-containing protein 1,9,114803065,114937688,Cardiometabolic
SUSD2,2603,Q9UGT4,Sushi domain-containing protein 2,22,24577227,24585078,Neurology
SUSD4,2604,Q5VX71,Sushi domain-containing protein 4,1,223394161,223537544,Oncology II
SUSD5,2605,O60279,Sushi domain-containing protein 5,3,33191537,33260707,Inflammation II
SV2A,2606,Q7L0J3,Synaptic vesicle glycoprotein 2A,1,149874870,149889434,Neurology II
SWAP70,2607,Q9UH65,Switch-associated protein 70,11,9685624,9774538,Oncology II
TACC3,2613,Q9Y6A5,Transforming acidic coiled-coil-containing protein 3,4,1723227,1746898,Oncology
TACSTD2,2614,P09758,Tumor-associated calcium signal transducer 2,1,59041099,59043166,Oncology
TAFA5,2616,Q7Z5A7,Chemokine-like protein TAFA-5,22,48885272,49246724,Oncology
TBC1D17,2625,Q9HA65,TBC1 domain family member 17,19,50380682,50392005,Neurology
TBC1D23,2626,Q9NUY8,TBC1 domain family member 23,3,99979844,100044095,Oncology
TBCA,2628,O75347,Tubulin-specific chaperone A,5,76986991,77164604,Inflammation II
TCL1A,2633,P56279,T-cell leukemia/lymphoma protein 1A,14,96176304,96180533,Neurology
TCN1,2635,P20061,Transcobalamin-1,11,59620273,59634048,Inflammation II
TCN2,2636,P20062,Transcobalamin-2,22,31002825,31023265,Cardiometabolic
TCTN3,2639,Q6NUS6,Tectonic-3,10,97423158,97453900,Cardiometabolic II
TDGF1,2640,P13385,Teratocarcinoma-derived growth factor 1,3,46616045,46668033,Neurology
TDRKH,2643,Q9Y2W6,Tudor and KH domain-containing protein,1,151742583,151763892,Neurology
TEK,2645,Q02763,Angiopoietin-1 receptor,9,27109139,27230173,Oncology
TEX101,2648,Q9BY14,Testis-expressed protein 101,19,43905648,43922763,Neurology II
TF,2650,P02787,Serotransferrin,3,133464800,133497850,Inflammation II
TFF1,2652,P04155,Trefoil factor 1,21,43782391,43786703,Neurology
TFF2,2653,Q03403,Trefoil factor 2,21,43766466,43771237,Inflammation
TFPI,2655,P10646,Tissue factor pathway inhibitor,2,188328957,188430487,Cardiometabolic
TFPI2,2656,P48307,Tissue factor pathway inhibitor 2,7,93514709,93520303,Oncology
TFRC,2657,P02786,Transferrin receptor protein 1,3,195754054,195809060,Cardiometabolic
TGFB1,2660,P01137,Transforming growth factor beta-1 proprotein,19,41807492,41859816,Inflammation
TGFBI,2662,Q15582,Transforming growth factor-beta-induced protein ig-h3,5,135364584,135399507,Cardiometabolic
TGFBR3,2665,Q03167,Transforming growth factor beta receptor type 3,1,92145902,92371892,Cardiometabolic
TGM2,2666,P21980,Protein-glutamine gamma-glutamyltransferase 2,20,36756863,36794980,Cardiometabolic
TGOLN2,2667,O43493,Trans-Golgi network integral membrane protein 2,2,85545147,85555548,Inflammation II
THBD,2669,P07204,Thrombomodulin,20,23026270,23030378,Cardiometabolic
THBS2,2670,P35442,Thrombospondin-2,6,169615875,169654139,Neurology
THBS4,2671,P35443,Thrombospondin-4,5,79287134,79379110,Cardiometabolic
THOP1,2672,P52888,Thimet oligopeptidase,19,2785458,2813599,Cardiometabolic
THTPA,2676,Q9BU02,Thiamine-triphosphatase,14,24025216,24029480,Oncology II
THY1,2677,P04216,Thy-1 membrane glycoprotein,11,119288090,119295695,Neurology
TIMD4,2682,Q96H15,T-cell immunoglobulin and mucin domain-containing protein 4,5,156346293,156390266,Cardiometabolic
TIMM10,2683,P62072,Mitochondrial import inner membrane translocase subunit Tim10,11,57295936,57298276,Cardiometabolic II
TIMP3,2687,P35625,Metalloproteinase inhibitor 3,22,33197687,33259030,Inflammation
TIMP4,2688,Q99727,Metalloproteinase inhibitor 4,3,12194551,12200851,Neurology
TLR1,2693,Q15399,Toll-like receptor 1,4,38792298,38858438,Inflammation II
TLR3,2695,O15455,Toll-like receptor 3,4,186990306,187009223,Inflammation
TLR4,2696,O00206,Toll-like receptor 4,9,120466610,120479149,Inflammation II
TMEM132A,2703,Q24JP5,Transmembrane protein 132A,11,60691935,60704631,Cardiometabolic II
TMEM25,2704,Q86YD3,Transmembrane protein 25,11,118401756,118417995,Neurology II
TMPRSS11D,2707,O60235,Transmembrane protease serine 11D,4,68686594,68749750,Neurology II
TMPRSS5,2709,Q9H3S3,Transmembrane protease serine 5,11,113558272,113577095,Neurology
TNC,2711,P24821,Tenascin,9,117782806,117880536,Cardiometabolic
TNFRSF10A,2716,O00220,Tumor necrosis factor receptor superfamily member 10A,8,23047965,23082639,Neurology
TNFRSF10B,2717,O14763,Tumor necrosis factor receptor superfamily member 10B,8,22877646,22926692,Neurology
TNFRSF10C,2718,O14798,Tumor necrosis factor receptor superfamily member 10C,8,22941868,22974950,Cardiometabolic
TNFRSF11A,2719,Q9Y6Q6,Tumor necrosis factor receptor superfamily member 11A,18,59992520,60058516,Inflammation
TNFRSF11B,2720,O00300,Tumor necrosis factor receptor superfamily member 11B,8,119935796,119964439,Inflammation
TNFRSF13C,2723,Q96RJ3,Tumor necrosis factor receptor superfamily member 13C,22,42321045,42322822,Inflammation
TNFRSF17,2725,Q02223,Tumor necrosis factor receptor superfamily member 17,16,12058964,12061925,Inflammation II
TNFRSF19,2726,Q9NS68,Tumor necrosis factor receptor superfamily member 19,13,24144509,24250232,Oncology
TNFRSF21,2729,O75509,Tumor necrosis factor receptor superfamily member 21,6,47199268,47277641,Neurology
TNFRSF6B,2731,O95407,Tumor necrosis factor receptor superfamily member 6B,20,62328021,62330037,Neurology
TNFRSF8,2732,P28908,Tumor necrosis factor receptor superfamily member 8,1,12123434,12204264,Neurology
TNFRSF9,2733,Q07011,Tumor necrosis factor receptor superfamily member 9,1,7979907,8000926,Neurology
TNFSF10,2734,P50591,Tumor necrosis factor ligand superfamily member 10,3,172223298,172241297,Inflammation
TNFSF12,2736,O43508,Tumor necrosis factor ligand superfamily member 12,17,7452208,7464925,Inflammation
TNFSF13,2737,O75888,Tumor necrosis factor ligand superfamily member 13,17,7461609,7464925,Inflammation
TNFSF13B,2738,Q9Y275,Tumor necrosis factor ligand superfamily member 13B,13,108903588,108960832,Cardiometabolic
TNFSF14,2739,O43557,Tumor necrosis factor ligand superfamily member 14,19,6663148,6670599,Neurology
TNFSF8,2740,P32971,Tumor necrosis factor ligand superfamily member 8,9,117656003,117692697,Cardiometabolic II
TNN,2742,Q9UQP3,Tenascin-N,1,175036994,175117202,Cardiometabolic II
TNR,2745,Q92752,Tenascin-R,1,175284330,175712906,Neurology
TNXB,2746,P22105,Tenascin-X,6,32008931,32083111,Neurology
TOR1AIP1,2751,Q5JTV8,Torsin-1A-interacting protein 1,1,179851177,179894135,Cardiometabolic II
TP53I3,2754,Q53FA7,Quinone oxidoreductase PIG3,2,24300303,24308731,Inflammation II
TPK1,2759,Q9H3S4,Thiamin pyrophosphokinase 1,7,144149034,144533488,Cardiometabolic II
TPMT,2761,P51580,Thiopurine S-methyltransferase,6,18128542,18155305,Oncology
TPP1,2762,O14773,Tripeptidyl-peptidase 1,11,6634000,6640692,Inflammation
TPSAB1,2767,Q15661,Tryptase alpha/beta-1,16,1290697,1292555,Inflammation
TPSD1,2768,Q9BZJ3,Tryptase delta,16,1306060,1308532,Neurology II
TREH,2775,O43280,Trehalase,11,118528026,118550399,Cardiometabolic II
TREML2,2778,Q5T2D2,Trem-like transcript 2 protein,6,41158015,41168932,Neurology
TRIM40,2784,Q6P9F5,E3 ubiquitin ligase TRIM40,6,30103885,30116512,Neurology II
TRIM5,2785,Q9C035,Tripartite motif-containing protein 5,11,5684425,5959849,Inflammation
TRIM58,2786,Q8NG06,E3 ubiquitin-protein ligase TRIM58,1,248020501,248041507,Oncology II
TSPAN8,2796,P19075,Tetraspanin-8,12,71518865,71835678,Oncology II
TTF2,2799,Q9UNY4,Transcription termination factor 2,1,117602925,117650075,Neurology II
TXNDC15,2807,Q96J42,Thioredoxin domain-containing protein 15,5,134209493,134237215,Oncology
TYMP,2812,P19971,Thymidine phosphorylase,22,50964181,50968485,Cardiometabolic
TYRO3,2813,Q06418,Tyrosine-protein kinase receptor TYRO3,15,41849873,41871536,Cardiometabolic
UBE2L6,2817,O14933,Ubiquitin/ISG15-conjugating enzyme E2 L6,11,57319129,57335757,Cardiometabolic II
ULBP2,2824,Q9BZM5,UL16-binding protein 2,6,150263136,150270371,Neurology
UMOD,2825,P07911,Uromodulin,16,20344374,20367623,Cardiometabolic
UROD,2832,P06132,Uroporphyrinogen decarboxylase,1,45477819,45481247,Inflammation II
VAMP8,2841,Q9BV40,Vesicle-associated membrane protein 8,2,85788685,85809154,Inflammation II
